SalesID,Category,ProductID,Product,Qty, UnitPrice ,Time,Store,Location
1620000000010079,맥주,0123020100007,칭따오,3," 2,300 ",2022-01-01 10:32:51 AM,판교점,경기 성남시
1620000000010079,맥주,0123020100008,제주 에일,1," 2,300 ",2022-01-01 10:32:51 AM,판교점,경기 성남시
1620000000010079,맥주,0123020100005,1664 블랑,1," 2,300 ",2022-01-01 10:32:51 AM,판교점,경기 성남시
1620000000010082,소주,0123020200012,청하,1," 2,000 ",2022-01-01 01:41:51 PM,판교점,경기 성남시
1620000000010085,맥주,0123020100007,칭따오,3," 2,300 ",2022-01-01 07:19:42 PM,판교점,경기 성남시
1620000000010088,소주,0123010100003,진로,1," 14,000 ",2022-01-01 10:02:20 PM,판교점,경기 성남시
1620000000010088,소주,0123010100002,참이슬,1," 7,500 ",2022-01-01 10:02:20 PM,판교점,경기 성남시
1620000000010091,맥주,0123020100007,칭따오,2," 2,300 ",2022-01-02 12:34:55 AM,역삼점,서울 강남구
1620000000010091,맥주,0123020100008,제주 에일,1," 2,300 ",2022-01-02 12:34:55 AM,역삼점,서울 강남구
1620000000010091,맥주,0123020100005,1664 블랑,1," 2,300 ",2022-01-02 12:34:55 AM,역삼점,서울 강남구
1620000000010094,소주,0123010100003,진로,1," 1,600 ",2022-01-02 03:00:24 PM,판교점,경기 성남시
1620000000010097,소주,0123010100001,처음처럼,1," 10,000 ",2022-01-02 04:04:42 PM,판교점,경기 성남시
1620000000010100,소주,0123020200012,청하,1," 10,000 ",2022-01-02 06:36:29 PM,판교점,경기 성남시
1620000000010103,맥주,0123020100008,제주 에일,1," 2,300 ",2022-01-02 06:47:37 PM,판교점,경기 성남시
1620000000010106,소주,0123010100003,진로,2," 1,600 ",2022-01-02 10:02:04 PM,역삼점,서울 강남구
1620000000010109,막걸리,0123020300002,장수,1," 2,300 ",2022-01-02 10:50:39 PM,판교점,경기 성남시
1620000000010109,맥주,0123020100006,기네스,1," 2,300 ",2022-01-02 10:50:39 PM,판교점,경기 성남시
1620000000010112,맥주,0123020100004,클라우드,2," 2,000 ",2022-01-02 10:51:56 PM,판교점,경기 성남시
1620000000010115,소주,0123020200012,청하,1," 8,000 ",2022-01-03 05:40:22 PM,판교점,경기 성남시
1620000000010115,맥주,0123020100007,칭따오,1," 12,000 ",2022-01-03 05:40:22 PM,판교점,경기 성남시
1620000000010118,맥주,0123020100003,카스,1," 8,000 ",2022-01-03 07:33:15 PM,판교점,경기 성남시
1620000000010121,맥주,0123020100005,1664 블랑,1," 8,000 ",2022-01-03 09:25:08 PM,판교점,경기 성남시
1620000000010121,맥주,0123020100014,OB라거,1," 4,000 ",2022-01-03 09:25:08 PM,판교점,경기 성남시
1620000000010124,맥주,0123020100003,카스,3," 1,600 ",2022-01-03 10:33:21 PM,수원점,경기 수원시
